name,cost,bad_cost,screen_size,screen_dimensions,matrix_type
Amazfit GTR 2e A2023,59 990 ₸,64 900 ₸,1.39,454 x 454,AMOLED
JET My Little Pony,23 990 ₸,24 990 ₸,1.44,240 x 240,TFT
Amazfit GTR 2e A2023,59 990 ₸,64 900 ₸,1.39,454 x 454,AMOLED
JET My Little Pony,21 900 ₸,23 900 ₸,1.44,240 x 240,TFT
Amazfit Verge,35 990 ₸,38 900 ₸,1.3,360 x 360,AMOLED
Amazfit Verge,53 400 ₸,56 900 ₸,1.3,360 x 360,AMOLED
Apple Watch Series 5,231 100 ₸,245 900 ₸,,368 x 448,"Retina, OLED, LTPO"
Amazfit GTR 3 PRO A2040,96 690 ₸,104 900 ₸,1.45,480 x 480,AMOLED
Amazfit GTS A1914,44 990 ₸,49 900 ₸,1.65,348 x 442,AMOLED
Amazfit GTS A1914,44 990 ₸,49 900 ₸,1.65,348 x 442,AMOLED
Amazfit GTR A1902,49 990 ₸,54 900 ₸,1.39,454 x 454,AMOLED
Apple Watch Series 4,206 700 ₸,219 900 ₸,,,"Retina, OLED"
JET Kid Talk,10 990 ₸,11 900 ₸,1.44,128 x 128,TFT
JET Kid Talk,10 990 ₸,11 900 ₸,1.44,128 x 128,TFT
Apple Watch Series 5,199 990 ₸,209 900 ₸,,324 x 394,"Retina, OLED, LTPO"
Apple Watch Series 5,231 100 ₸,245 900 ₸,,368 x 448,"Retina, OLED, LTPO"
Amazfit GTS 2e A2021,66 990 ₸,69 990 ₸,1.65,348 x 442,AMOLED
Amazfit GTS A1914,44 990 ₸,49 900 ₸,1.65,348 x 442,AMOLED
Amazfit GTS 2e A2021,59 990 ₸,62 990 ₸,1.65,348 x 442,AMOLED
MyKronoz ZeSport,49 900 ₸,89 000 ₸,1.3,240 x 240,
MyKronoz ZeRound 2 HR Elite,49 900 ₸,66 700 ₸,1.22,240 x 204,TFT
MyKronoz ZeSport,49 900 ₸,78 900 ₸,1.3,240 x 240,TFT
Apple Watch Series 4,199 990 ₸,209 900 ₸,,,"Retina, OLED"
Apple Watch Series 4,169 900 ₸,229 900 ₸,,,"Retina, OLED"
